HPC	Bcells	Granulocytes	CD8.Tcells	CD4.Tcells	Monocytes	Macrophages	NK.cells	Endothelial.cells	svm.entity	svm.subtype	suggested.entity	suggested.subtype
1	0	0	0	0	0	0	0	0	ALL	11q23/MLL	ALL	11q23/MLL
1	0	0	0	0	0	0	0	0	ALL	11q23/MLL	ALL	11q23/MLL
1	0	0	0	0	0	0	0	0	ALL	11q23/MLL	ALL	11q23/MLL
0.29	0.71	0	0	0	0	0	0	0	ALL	11q23/MLL	ALL	11q23/MLL
0	1	0	0	0	0	0	0	0	ALL	t(12;21)	ALL	unclassified
0	1	0	0	0	0	0	0	0	ALL	t(12;21)	ALL	unclassified
0	0.01	0.95	0.02	0	0	0	0.01	0	ALL	11q23/MLL	ALL	unclassified
0	0	0.98	0	0	0	0.02	0	0	ALL	11q23/MLL	ALL	11q23/MLL
0	0	1	0	0	0	0	0	0	ALL	11q23/MLL	ALL	unclassified
0	0	0	0.93	0	0	0	0.07	0	ALL	11q23/MLL	ALL	11q23/MLL
0	0	0	0	1	0	0	0	0	ALL	11q23/MLL	ALL	11q23/MLL
0	0	0	0.76	0	0	0	0.24	0	ALL	11q23/MLL	ALL	11q23/MLL
0	0	0.01	0	0	0.98	0	0	0	ALL	11q23/MLL	ALL	unclassified
0	0	0	0	0	0.97	0.03	0	0	ALL	11q23/MLL	ALL	11q23/MLL
0	0.02	0	0	0.01	0.97	0	0	0	ALL	11q23/MLL	ALL	unclassified
0.06	0	0	0	0.01	0	0.92	0	0.01	ALL	11q23/MLL	ALL	11q23/MLL
0	0	0	0	0	0	1	0	0	ALL	11q23/MLL	ALL	11q23/MLL
0	0.01	0.01	0	0.02	0.01	0.94	0	0.01	ALL	11q23/MLL	ALL	11q23/MLL
0	0	0	0	0	0	0	0	1	DLBCL	ABC	DLBCL	unclassified
0	0	0	0	0	0	0	0	1	DLBCL	ABC	DLBCL	unclassified
0	0.01	0	0	0	0	0	0	0.99	DLBCL	ABC	DLBCL	unclassified
0.09	0.06	0.04	0	0.4	0.07	0.14	0.18	0.02	ALL	11q23/MLL	ALL	11q23/MLL
0.06	0.1	0.1	0	0.37	0.15	0.12	0.09	0.01	ALL	11q23/MLL	ALL	11q23/MLL
0.06	0.15	0.07	0.03	0.37	0.06	0.08	0.16	0.01	ALL	11q23/MLL	ALL	11q23/MLL
0.07	0.03	0.51	0	0.18	0	0.09	0.1	0.01	ALL	11q23/MLL	ALL	11q23/MLL
0.04	0.06	0.39	0.02	0.16	0	0.1	0.23	0.01	ALL	11q23/MLL	ALL	11q23/MLL
0.06	0.09	0.49	0	0.2	0	0.07	0.09	0.01	ALL	11q23/MLL	ALL	11q23/MLL
0.32	0.03	0.06	0.21	0.37	0	0	0	0.01	ALL	11q23/MLL	ALL	11q23/MLL
0	0.85	0.03	0.12	0	0	0	0	0	ALL	t(12;21)	ALL	t(12;21)
0	1	0	0	0	0	0	0	0	ALL	t(12;21)	ALL	t(12;21)
0	0.38	0	0.05	0.28	0.13	0.06	0.11	0	MCL	C1	MCL	C1
0	0.74	0	0.21	0	0.04	0	0.01	0	MCL	C1	MCL	C1
0	1	0	0	0	0	0	0	0	MCL	C2	MCL	C2
0	0.01	0.44	0.06	0.16	0.02	0.05	0.25	0	ALL	11q23/MLL	ALL	11q23/MLL
0	0.9	0	0	0.1	0	0	0	0	CLL	n-CLL	CLL	n-CLL
0	0.99	0	0.01	0	0	0	0	0	CLL	m-CLL	CLL	m-CLL
0	0.1	0	0.21	0.48	0	0	0.15	0.06	DLBCL	ABC	DLBCL	ABC
0	0.52	0	0.09	0.06	0	0.1	0.15	0.07	DLBCL	GCB	DLBCL	GCB
0	0.84	0	0	0.09	0.06	0	0.02	0	DLBCL	ABC	DLBCL	ABC
0.01	0.04	0.66	0	0.09	0	0.06	0.12	0.02	ALL	11q23/MLL	ALL	unclassified
0	0.62	0.04	0.04	0	0.02	0.07	0.14	0.06	MM		MM	
0	0.87	0	0.05	0	0	0	0.07	0.01	MM		MM	
0	0	0	0.02	0	0	0	0.98	0	ALL	11q23/MLL	ALL	11q23/MLL
0	0	0	0	0	0	0	1	0	ALL	11q23/MLL	ALL	11q23/MLL
0	0	0	0.06	0	0	0	0.94	0	ALL	11q23/MLL	ALL	11q23/MLL
